"driverId","raceId","año","circuitId","fecha","hora","pos_en_carrera","acumulado_victorias","fecha_nac","referencia","nacionalidad","tiempo_total","tiempo_medio","num_vuelta_rapida","tiempo_mas_rapido","tiempo_medio_box","tiempo_total_box","num_veces_box","q1","q2","q3","puntos_carrera","vel_vuelta_rapida","edad","q1_ms","q2_ms","q3_ms"
1,1035,2020,9,2020-08-09,13,1,3,1985-01-07,"hamilton","British",4793319,92179.2115384615,43,88451,28904,57808,2,"1:26.818","1:26.266","1:25.217",19,239.766,35,86818,86266,85217
1,1036,2020,4,2020-08-16,13,1,4,1985-01-07,"hamilton","British",5505279,83413.3181818182,63,79822,22615,45230,2,"1:16.872","1:16.013","1:15.584",25,209.942,35,76872,76013,75584
1,1037,2020,13,2020-08-30,13,1,5,1985-01-07,"hamilton","British",5048761,114744.568181818,28,107758,23298,23298,1,"1:42.323","1:42.014","1:41.252",25,233.99,35,102323,102014,101252
1,1038,2020,14,2020-09-06,13,1,5,1985-01-07,"hamilton","British",6443301,121571.716981132,34,82746,524392.666666667,1573178,3,"1:19.514","1:19.092","1:18.887",7,252.033,35,79514,79092,78887
1,1039,2020,76,2020-09-13,13,1,6,1985-01-07,"hamilton","British",8375060,141950.169491525,58,78833,560077.6,2800388,5,"1:15.778","1:15.309","1:15.144",26,239.518,35,75778,75309,75144
1,1040,2020,71,2020-09-27,11,1,6,1985-01-07,"hamilton","British",5663093,106850.811320755,48,98075,41352,41352,1,"1:32.983","1:32.835","1:31.304",15,214.66,35,92983,92835,91304
1,1041,2020,20,2020-10-11,13,1,7,1985-01-07,"hamilton","British",5749641,95827.35,58,88145,23581.5,47163,2,"1:26.620","1:25.390","1:25.525",25,210.253,35,86620,85390,85525
1,1042,2020,75,2020-10-25,12,1,8,1985-01-07,"hamilton","British",5396828,81770.1212121212,63,78750,27162,27162,1,"1:16.828","1:16.824","1:16.652",26,212.708,35,76828,76824,76652
1,1043,2020,21,2020-11-01,12,1,9,1985-01-07,"hamilton","British",5312430,84324.2857142857,63,75484,30653.5,61307,2,"1:14.229","1:14.643","1:13.706",26,234.121,35,74229,74643,73706
1,1044,2020,5,2020-11-15,10,1,10,1985-01-07,"hamilton","British",6139313,105850.224137931,56,99413,23860,23860,1,"2:07.599","1:52.709","1:52.560",25,193.302,35,127599,112709,112560
1,1045,2020,3,2020-11-29,14,1,11,1985-01-07,"hamilton","British",7187515,126096.754385965,38,92864,404128.333333333,1212385,3,"1:28.343","1:27.586","1:27.264",25,209.803,35,88343,87586,87264
1,1047,2020,24,2020-12-13,13,1,11,1985-01-07,"hamilton","British",5807060,105582.909090909,37,101420,22406,22406,1,"1:35.528","1:35.466","1:35.332",15,197.144,35,95528,95466,95332
1,1051,2021,78,2021-11-21,14,2,7,1985-01-07,"hamilton","British",5068471,88920.5438596491,50,85084,25308,50616,2,"1:21.901","1:21.682","1:20.827",25,227.633,36,81901,81682,80827
1,1052,2021,3,2021-03-28,15,1,1,1985-01-07,"hamilton","British",5523897,98641.0178571429,44,94015,24457.5,48915,2,"1:30.617","1:30.085","1:29.385",25,207.235,36,90617,90085,89385
1,1053,2021,21,2021-04-18,13,1,1,1985-01-07,"hamilton","British",7376598,117088.857142857,60,76702,407727.75,1630911,4,"1:14.823","1:14.817","1:14.411",19,230.403,36,74823,74817,74411
1,1054,2021,75,2021-05-02,14,1,2,1985-01-07,"hamilton","British",5671421,85930.6212121212,47,80933,23832.3333333333,71497,3,"1:18.857","1:17.968","1:18.355",25,206.971,36,78857,77968,78355
1,1055,2021,4,2021-05-09,13,1,3,1985-01-07,"hamilton","British",5587680,84661.8181818182,54,80665,22149,44298,2,"1:18.245","1:17.166","1:16.741",25,208.64,36,78245,77166,76741
1,1056,2021,6,2021-05-23,13,2,3,1985-01-07,"hamilton","British",6005051,76987.8333333333,69,72909,24013.5,48027,2,"1:11.622","1:11.116","1:11.095",7,164.769,36,71622,71116,71095
1,1057,2021,73,2021-06-06,12,2,3,1985-01-07,"hamilton","British",8034078,157530.941176471,43,104769,679608.333333333,2038825,3,"1:41.545","1:41.634","1:41.450",0,206.27,36,101545,101634,101450
